[Tue Apr 10 14:18:13.214 2018] 0.002 sec [all/0/rel 0 (0,20)] [goods] cehsi
[Tue Apr 10 14:18:49.923 2018] 0.000 sec [all/0/rel 2 (0,20)] [goods] 黑色
[Tue Apr 10 14:25:10.177 2018] 0.000 sec [all/0/rel 0 (0,20)] [goods] 2s
[Tue Apr 10 14:25:24.503 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] mix2s
[Tue Apr 10 14:27:43.851 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] 牙刷
[Tue Apr 10 14:53:57.936 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] 666
[Tue Apr 10 14:54:18.720 2018] 0.000 sec [all/0/rel 0 (0,20)] [goods] 宝马
[Tue Apr 10 14:54:25.101 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] 666
[Tue Apr 10 14:54:52.029 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] 666
[Tue Apr 10 14:55:00.095 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] 宝马
[Tue Apr 10 14:55:19.853 2018] 0.000 sec [all/0/rel 1 (0,20)] [goods] 666
[Tue Apr 10 15:30:55.823 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 666
[Tue Apr 10 15:31:07.349 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 宝马
[Tue Apr 10 15:31:45.756 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 宝马
[Tue Apr 10 15:33:02.135 2018] 0.000 sec [all/1/rel 1 (0,20)] [goods] 444
[Tue Apr 10 15:33:33.953 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 444
[Tue Apr 10 15:33:45.730 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 奔驰
[Tue Apr 10 15:33:53.958 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 444
[Tue Apr 10 15:34:00.555 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 444
[Tue Apr 10 16:03:03.645 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 444
[Tue Apr 10 16:03:33.370 2018] 0.000 sec [all/1/rel 1 (0,20)] [goods] QQ群
[Tue Apr 10 16:04:07.483 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] QQ群
[Tue Apr 10 16:04:15.488 2018] 0.000 sec [all/1/rel 0 (0,20)] [goods] 奥迪
[Tue Apr 10 16:04:33.980 2018] 0.001 sec [all/1/rel 0 (0,20)] [goods] 最新奥迪交流群
[Tue Apr 10 16:27:26.606 2018] 0.000 sec [all/1/rel 1 (0,20)] [goods] 最新奥迪交流群
[Tue Apr 10 16:27:37.285 2018] 0.000 sec [all/1/rel 1 (0,20)] [goods] 奥迪
[Tue Apr 10 16:27:50.635 2018] 0.000 sec [all/1/rel 1 (0,20)] [goods] 交流
